2019-12-30T08:34:33.893Z - info:   [43744] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2019-12-30T08:34:33.894Z - info:   [43744] AzureReposVSCode/1.161.0 (VSCode 1.41.1; Windows_NT 10.0.18362; Node 12.4.0)
2019-12-30T08:34:33.974Z - warn:   [43744] TFVC Couldn't find where the TF command lives on disk.
2019-12-30T08:34:33.975Z - error:  [43744] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-01-21T18:55:33.168Z - info:   [26600] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-01-21T18:55:33.170Z - info:   [26600] AzureReposVSCode/1.161.0 (VSCode 1.41.1; Windows_NT 10.0.18362; Node 12.4.0)
2020-01-21T18:55:33.234Z - warn:   [26600] TFVC Couldn't find where the TF command lives on disk.
2020-01-21T18:55:33.235Z - error:  [26600] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-01-22T01:00:33.788Z - info:   [26600] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-01-22T01:00:33.790Z - info:   [26600] AzureReposVSCode/1.161.0 (VSCode 1.41.1; Windows_NT 10.0.18362; Node 12.4.0)
2020-01-22T01:00:33.848Z - warn:   [26600] TFVC Couldn't find where the TF command lives on disk.
2020-01-22T01:00:33.848Z - error:  [26600] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-01-22T01:01:40.063Z - info:   [26600] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-01-22T01:01:40.064Z - info:   [26600] AzureReposVSCode/1.161.0 (VSCode 1.41.1; Windows_NT 10.0.18362; Node 12.4.0)
2020-01-22T01:01:40.083Z - warn:   [26600] TFVC Couldn't find where the TF command lives on disk.
2020-01-22T01:01:40.084Z - error:  [26600] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-01-23T01:24:49.401Z - info:   [19840] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-01-23T01:24:49.403Z - info:   [19840] AzureReposVSCode/1.161.0 (VSCode 1.41.1; Windows_NT 10.0.18362; Node 12.4.0)
2020-01-23T01:24:49.481Z - warn:   [19840] TFVC Couldn't find where the TF command lives on disk.
2020-01-23T01:24:49.482Z - error:  [19840] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-01-23T18:38:47.883Z - info:   [19840] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-01-23T18:38:47.885Z - info:   [19840] AzureReposVSCode/1.161.0 (VSCode 1.41.1; Windows_NT 10.0.18362; Node 12.4.0)
2020-01-23T18:38:47.964Z - warn:   [19840] TFVC Couldn't find where the TF command lives on disk.
2020-01-23T18:38:47.965Z - error:  [19840] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-01-23T18:38:48.558Z - info:   [19840] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
